rank,game_name,game_href,geek_rating,avg_rating,num_voters,description,yearpublished,minplayers,maxplayers,minplaytime,maxplaytime,minage,avgweight,best_num_players,designers,mechanics,categories
159,Praga Caput Regni,https://boardgamegeek.com/boardgame/308765/praga-caput-regni,7.409,7.9,8917.0,"Charles IV has been crowned King of Bohemia and ruler of the Holy Roman Empire. From his castle in Prague, he oversees construction of new fortifications: a bridge across the Vltava River, a university, and a cathedral rising within the walls of the castle itself. Prague is already among the largest cities in Europe. King Charles will make it the capital of an empire!

In Praga Caput Regni, players take the role of wealthy citizens who are organizing various building projects in medieval Prague. By expanding their wealth and joining in the construction, they gain favor with the king. Players choose from six actions on the game board &mdash; the &quot;action crane&quot; &mdash; that are always available, but which are weighted with a constantly shifting array of costs and benefits. By using these actions, you can increase your resources, improve the strength of your chosen actions, and build &quot;New Prague City&quot;, the Charles Bridge, or city walls. You can possibly gain additional actions or even participate in the construction of St. Vitus Cathedral.

Clever players will discover synergies between carefully timed actions and the rewards from constructing civic projects as all of the mechanisms mesh together. At the end of the game, the player who most impressed King Charles wins.

",2020,1,4,45,150,14,3.7394,"[{'min': 3, 'max': 3}]",['Vladimír Suchý'],"['Area Majority / Influence', 'Enclosure', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Three Dimensional Movement']","['City Building', 'Medieval', 'Puzzle']"
160,Great Western Trail: New Zealand,https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand,7.408,8.61,3499.0,"In Great Western Trail: New Zealand, you are a runholder &mdash; that is, the owner of a sheep station &mdash; on the South Island of New Zealand at the end of the 19th century. Recent years have seen your family farm prosper by diversifying your breeds of sheep and by increasing the value of your wool.

With the dawn of the new century, new challenges have arisen. You must acquire new and improved breeds of sheep to ensure the prosperity of your family business and the laborers who work for you.

",2023,1,4,75,150,12,3.9424,"[{'min': 3, 'max': 3}]",['Alexander Pfister'],"['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Track Movement']","['Animals', 'Economic']"
161,Blood on the Clocktower,https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower,7.407,8.33,5737.0,"In the quiet village of Ravenswood Bluff, &zwnj;a demon walks amongst you...

During a hellish thunderstorm, on the stroke of midnight, there echoes a bone-chilling scream. The townsfolk rush to investigate and find the town storyteller murdered, their body impaled on the hands of the clocktower, blood dripping onto the cobblestones below. A Demon is on the loose, murdering by night and disguised in human form by day. Some have scraps of information. Others have abilities that fight the evil or protect the innocent. But the Demon and its evil minions are spreading lies to confuse and breed suspicion. Will the good townsfolk put the puzzle together in time to execute the true demon and save themselves? Or will evil overrun this once peaceful village?

Blood on the Clocktower is a bluffing game enjoyed by 5 to 20 players on opposing teams of Good and Evil, overseen by a Storyteller player who conducts the action and makes crucial decisions. The goal of the game is to successfully deduce and execute the demons before they outnumber the townfolk.

During a 'day' phase players socialize openly and whisper privately to trade knowledge or spread lies, culminating in a player's execution if a majority suspects them of being Evil. Of a 'night' time, players close their eyes and are woken one at a time by the Storyteller to gather information, spread mischief, or kill.

The Storyteller uses the game's intricate playing pieces to guide each game, leaving others free to play without a table or board. Players stay in the thick of the action to the very end even if their characters are killed, haunting Ravenswood Bluff as ghosts trying to win from beyond the grave.

If you arrive late to a game, you can enter after it's started as a powerful Traveller character with unusual talents and questionable allegiances. Each character comes with their own special ability and no two players in a game are ever the same character.

",2022,6,21,30,120,15,3.034,"[{'min': 9, 'max': 12}]",['Steven Medway'],"['Betting and Bluffing', 'Deduction', 'Hidden Roles', 'Negotiation', ""Prisoner's Dilemma"", 'Rock-Paper-Scissors']","['Bluffing', 'Deduction', 'Horror', 'Murder/Mystery', 'Party Game']"
162,Tyrants of the Underdark,https://boardgamegeek.com/boardgame/189932/tyrants-of-the-underdark,7.405,7.91,9269.0,"Tyrants of the Underdark is a territory control game with a deck-building element.

Each player leads a house of Drow in a section of the Underdark below the Sword Coast. The Drow house is represented by a deck of cards, with each card being a minion in that player's deck. Each minion belongs to one of five aspects of Drow society, and those aspects correspond to different strategies in the game, e.g., malice minions excel at assassinating opponents' troops, while ambition minions are best at recruiting additional minions and promoting minions to your &quot;inner circle&quot;, which is a special zone that increases their value at the end of the game.

When you set up the game, you create an 80-card deck by shuffling two 40-card half-decks together, with the half-decks being Drow, Dragons, Demons, and Elementals.

A central marketplace has new minions that can be recruited through influence, one of two resources in the game; purchased cards are placed in your discard pile, then shuffled together with other cards in your deck when needed. The other resource is power, which allows you to place troops on the game board, expand your forces across the map of the Underdark, manipulate happenings in the city, and assassinate enemy troops.

Players gain points by controlling sites, recruiting valuable minions, promoting minions to your inner circle, and assassinating troops, and whoever ends the game with the most points wins.

",2016,2,4,60,60,14,2.5472,"[{'min': 4, 'max': 4}]","['Peter Lee', 'Rodney Thompson', 'Andrew Veen']","['Area Majority / Influence', 'Connections', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Take That', 'Variable Set-up']","['Fantasy', 'Fighting']"
163,Kemet,https://boardgamegeek.com/boardgame/127023/kemet,7.403,7.65,19311.0,"In Kemet, players each deploy the troops of an Egyptian tribe and use the mystical powers of the gods of ancient Egypt &ndash; along with their powerful armies &ndash; to score points in glorious battles or through invasion of rich territories. A game is typically played to 8 or 10 victory points, which may be accrued through winning attacks, controlling temples, controlling fully-developed pyramids, sacrificing to the gods, and wielding particular magical powers.

The conquest for the land of Kemet takes place over two phases: Day and Night. During the day, choose an action amongst the nine possible choices provided by your player mat and perform it immediately. Once every player has taken five actions, night falls, with players gathering Prayer Points from their temples, drawing Divine Intervention cards, and determining the turn order before the start of the new day.

As the game progresses, they can use Prayer Points to acquire power tiles. Some of these enroll magical creatures and have them join their troops. In addition to intimidating enemies, these creatures provide special powers!

Detailed miniature components represent the combat units and the supernatural creatures that are summoned to enhance them. Combat is resolved through cards chosen from a diminishing six-card hand and enhanced by bonuses.

Play By Forum

     Kemet PBF #1


",2012,2,5,90,120,13,2.9972,"[{'min': 4, 'max': 5}]","['Jacques Bariot', 'Guillaume Montiage']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Card Play Conflict Resolution', 'Hand Management', 'Open Drafting']","['Ancient', 'Miniatures', 'Mythology', 'Wargame']"
164,Ticket to Ride: Europe,https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe,7.403,7.53,77121.0,"Ticket to Ride: Europe takes you on a new train adventure across Europe. From Edinburgh to Constantinople and from Lisbon to Moscow, you'll visit great cities of turn-of-the-century Europe. Like the original Ticket to Ride, the game remains elegantly simple, can be learned in 5 minutes, and appeals to both families and experienced gamers. Ticket to Ride: Europe is a complete, new game and does not require the original version.

More than just a new map, Ticket to Ride: Europe features brand new gameplay elements. Tunnels may require you to pay extra cards to build on them, Ferries require locomotive cards in order to claim them, and Stations allow you to sacrifice a few points in order to use an opponent's route to connect yours. The game also includes larger format cards and Train Station game pieces.

The overall goal remains the same: collect and play train cards in order to place your pieces on the board, attempting to connect cities on your ticket cards. Points are earned both from placing trains and completing tickets but uncompleted tickets lose you points. The player who has the most points at the end of the game wins.

Copyright 2002-2014 Days of Wonder, inc.

Part of the Ticket to Ride series.

",2005,2,5,30,60,8,1.9186,"[{'min': 4, 'max': 4}]",['Alan R. Moon'],"['Connections', 'Contracts', 'End Game Bonuses', 'Hand Management', 'Network and Route Building', 'Open Drafting']",['Trains']
165,Undaunted: Normandy,https://boardgamegeek.com/boardgame/268864/undaunted-normandy,7.4,7.8,11936.0,"June, 1944: Through the D-Day landings, the Allies have seized a foothold on the beaches of Normandy. Now you must lead your troops forward as you push deeper into France and drive the German forces back. You will face intense resistance, machine gun fire, and mortar bombardment, but a great commander can turn the situation to their advantage!

Undaunted: Normandy is a deck-building game that places you and your opponent in command of American or German forces, fighting through a series of missions critical to the outcome of World War II. Use your cards to seize the initiative, bolster your forces, or control your troops on the battlefield. Strong leadership can turn the tide of battle in your favor, but reckless decisions could prove catastrophic as every casualty you take removes a card from your deck. Take charge amidst the chaos of battle, hold fast in the face of opposition, and remain undaunted.

&mdash;description from the publisher

",2019,2,2,45,60,14,2.2404,"[{'min': 2, 'max': 2}]","['Trevor Benjamin', 'David Thompson (I)']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Open Drafting', 'Simulation']","['Wargame', 'World War II']"
166,Magic: The Gathering,https://boardgamegeek.com/boardgame/463/magic-the-gathering,7.399,7.58,40031.0,"


    
        GAME SYSTEM

    
    
         This entry is to allow for discussion/rating of the game system as a whole. It is not for a specific product or release. Versions will appear on the individual item pages.

    


From the official website:  In the Magic game, you play the role of a planeswalker&mdash;a powerful wizard who fights other planeswalkers for glory, knowledge, and conquest. Your deck of cards represents all the weapons in your arsenal. It contains the spells you know and the creatures you can summon to fight for you.

This is the grandfather of the collectible card game (or CCG) genre.  Cards are categorized as common, uncommon, rare, and mythic rare.  Players collect cards and build decks out of their collection.

Players build a deck of cards and duel against an opponent's deck.  Players are wizards attempting to reduce their opponent's life total to zero.  The first player to reduce his opponent's life to zero (or meet another set win condition) wins the game.

An important part of the game is deck construction, which is done prior to the actual game by selecting what cards are included in a particular deck.  There are over 25,000 different cards from which to build your deck!

Cards can be lands, which usually generate mana of various colors, or spells, which require a certain amount of mana to be used.  Some cards (creatures, artifacts, and enchantments) stay on the board and continue to affect the game, while others have a one-time effect.

Players randomly draw spells to see what they get and can play each turn.  Although this limits your choices, there is a lot of strategy in how you play those spells.  A robust list of game mechanics, including intricate rules for reactive card play called &quot;the stack,&quot; provide for rich tactics and tough choices each turn.

Though traditionally a two-player duel, there are several casual and tournament formats to Magic that allow more players to play.

",1993,2,2,20,20,13,3.2658,"[{'min': 2, 'max': 2}]",['Richard Garfield'],"['Betting and Bluffing', 'Closed Drafting', 'Deck Construction', 'Hand Management', 'Income', 'Interrupts']","['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']"
167,Stone Age,https://boardgamegeek.com/boardgame/34635/stone-age,7.399,7.52,53009.0,"The &quot;Stone Age&quot; times were hard indeed. In their roles as hunters, collectors, farmers, and tool makers, our ancestors worked with their legs and backs straining against wooden plows in the stony earth. Of course, progress did not stop with the wooden plow. People always searched for better tools and more productive plants to make their work more effective.

In Stone Age, the players live in this time, just as our ancestors did. They collect wood, break stone and wash their gold from the river. They trade freely, expand their village and so achieve new levels of civilization. With a balance of luck and planning, the players compete for food in this pre-historic time.

Players use up to ten tribe members each in three phases. In the first phase, players place their men in regions of the board that they think will benefit them, including the hunt, the trading center, or the quarry. In the second phase, the starting player activates each of their staffed areas in whatever sequence they choose, followed in turn by the other players. In the third phase, players must have enough food available to feed their populations, or they face losing resources or points.

",2008,2,4,60,90,10,2.4609,"[{'min': 4, 'max': 4}]",['Bernd Brunnhofer'],"['Contracts', 'Dice Rolling', 'End Game Bonuses', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']","['Dice', 'Economic', 'Prehistoric']"
168,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-the-thames-mu,7.399,7.63,21504.0,"Have you ever had the desire to walk the streets of Victorian London with Sherlock Holmes in search of Professor Moriarty? To search the docks for the giant rat of Sumatra? To walk up Baker Street as the fog is rolling in and hear Holmes cry out, &quot;Come, Watson, come! The game is afoot!&quot;? Now you can! You can enter the opium den beneath the Bar of Gold, but beware, that may be Colonel Sebastian Moran lurking around the corner. You can capture the mystery and excitement of Holmes' London in this challenging and informative game. You, the player, will match your deductive abilities against your opponents and the master sleuth himself, Sherlock Holmes.

In Sherlock Holmes Consulting Detective, you are presented with a mystery to solve, and it is then up to you to trace the threads of evidence through the byways and mansions of nineteenth century London. You will interview suspects, search the newspapers for clues, and put together the facts to reach a solution.

Why were two lions murdered in Hyde Park? Who is responsible for the missing paintings from the National Gallery? Who murdered Oswald Mason and why? These are just a few of the cases that will challenge your ingenuity and deductive abilities.

This is not a board game: No dice, no luck, but a challenge to your mental ability. The game has been thoroughly researched for Holmesian and Victorian accuracy so as to capture a feeling of that bygone era.

",1982,1,8,60,120,13,2.6652,"[{'min': 2, 'max': 2}]","['Raymond Edwards', 'Suzanne Goldberg', 'Gary Grady']","['Cooperative Game', 'Deduction', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Storytelling']","['Deduction', 'Murder/Mystery', 'Novel-based', 'Post-Napoleonic', 'Spies/Secret Agents']"
169,The Lord of the Rings: The Card Game,https://boardgamegeek.com/boardgame/77423/the-lord-of-the-rings-the-card-game,7.398,7.66,24252.0,"The Lord of the Rings: The Card Game is a cooperative adventure game in which the players attempt to complete a scenario, each with up to three heroes of their choice and a deck of allies, events and attachments to support them. Each round, players send their heroes and allies to quest or to fight with enemies that engage them. However, as the heroes and allies exhaust after questing, defending, or attacking, the players' options are typically insufficient to deal with everything at once. Therefore, players need to determine whether it is more urgent to quest and make progress in the scenario while the enemy forces gain power, or to take down enemies while making no progress, not knowing what will come next.

The core set contains three scenarios, twelve famous heroes from the works of J.R.R. Tolkien (including Aragorn, Legolas, Gimli, Denethor, and &Eacute;owyn), and four pre-constructed player decks. Players can either use one of these decks or construct their own deck to increase their chances of success and to explore new strategies. Additionally, The Lord of the Rings: The Card Game is a Living Card Game with over ten years of content, and its content is re-released regularly in the form of Campaign and Hero Expansions. Campaign Expansions contain new scenarios for players to embark upon, and Hero Expansions contain new heroes and new cards for players to use in their decks.

Although this game is set in Tolkien's Middle-earth, most scenarios in the game do not represent scenes from the books, but rather take place in the seventeen years from Bilbo's 111th birthday until Frodo's departure from the Shire, allowing players to create their own stories and adventures in Middle-earth. Scenarios from the game's Saga Expansions do follow the events of The Lord of the Rings and The Hobbit books, and the scenarios from each Saga Expansion can be played individually or together as a Campaign Mode, with lasting consequences from game to game arising from the players' actions and decisions.

",2011,1,2,30,60,13,3.21,"[{'min': 2, 'max': 2}]",['Nate French'],"['Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Player Elimination', 'Scenario / Mission / Campaign Game']","['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Novel-based']"
170,Endeavor: Age of Sail,https://boardgamegeek.com/boardgame/233398/endeavor-age-of-sail,7.397,7.88,9448.0,"In Endeavor: Age of Sail, players strive to earn glory for their empires. Sailing out from Europe and the Mediterranean, players will establish shipping routes and occupy cities the world over. As they do so, players will leverage their growing industry, culture, finance, and Influence, building their engine and extending their reach into the far-flung regions of the world.

In this second edition, players will experience:


     Double-sided board to accommodate different player counts
     Variable starting set ups with new buildings
     Exploits to enhance the mechanisms and story of the different regions
     Updated visuals by the original artist and graphic designer, Josh Cappel


&mdash;description from the publisher

",2018,2,5,60,90,13,2.8403,"[{'min': 4, 'max': 4}]","['Carl de Visser', 'Jarratt Gray']","['Area Majority / Influence', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Tech Trees / Tech Tracks']","['Exploration', 'Nautical', 'Renaissance']"
171,Terraforming Mars: Ares Expedition,https://boardgamegeek.com/boardgame/328871/terraforming-mars-ares-expedition,7.395,7.67,17638.0,"Terraforming Mars: Ares Expedition is an engine-building game in which players control interplanetary corporations with the goal of making Mars habitable (and profitable). You will do this by investing mega credits (MC) into project cards that will directly or indirectly contribute to the terraforming process. In order to win, you will want to accumulate a high terraform rating (TR) and as many victory points (VP) as you can. Players raise their TR by increasing global parameters: oceans, oxygen, and temperature. TR also determines each corporation's basic income, and, at the end of the game TR counts as VP. Additional VP and production capabilities are awarded for building project cards and other actions taken during the game.

The game is played in rounds, and each round the players will choose one of five phases, which determines which activities will take place during that round. This means every round is different, but can consist of building new project cards, taking general and project-specific actions, producing income and resources (plants and heat), or researching to draw more project cards. Every player will take all the phases selected for the round, and will receive a special bonus during the phase that they selected. To speed up the game, within each phase, players can act simultaneously without waiting for each other!

The game board has tracks for oxygen, temperature, and terraform rating, as well as a place for all of the ocean tiles that will be flipped over the course of the game. The game ends when there is enough oxygen to breath (14%), oceans enough to allow Earth-like weather (9), and the temperature is well above freezing (+8&deg;C). It will then be possible, if not comfortable, to live on the surface of Mars!

The winner is the player with the most VP at the end of the game.

",2021,1,4,45,60,14,2.9266,"[{'min': 3, 'max': 3}]","['Sydney Engelstein', 'Jacob Fryxelius', 'Nick Little (I)']","['End Game Bonuses', 'Follow', 'Hand Management', 'Income', 'Set Collection', 'Simultaneous Action Selection']","['Card Game', 'Science Fiction', 'Space Exploration']"
172,Legendary Encounters: An Alien Deck Building Game,https://boardgamegeek.com/boardgame/146652/legendary-encounters-an-alien-deck-building-game,7.392,7.76,13235.0,"Legendary Encounters: An Alien Deck Building Game, based on the four movies of the Alien series, is a fully cooperative game with original art. While based on the Marvel superheroes version of Legendary, the two games will be compatible but cannot be fully integrated.

Legendary Encounters is a deck-building game in the same family as Legendary: A Marvel Deck Building Game, but now players must cooperate in order to survive against hordes of aliens. Taking on the role of protagonists such as Ripley, Dallas, Bishop and Corporal Hicks, players take turns recruiting cards for their deck from a central selection in order to improve their deck and defeat Xenomorph cards that are added to the central game board.

Product Breakdown:
&gt; 600  total Original Art Card Set
&gt; Full Color Game Board (mat)
&gt; Full Color Rule Book
&gt; Card inserts for easy organization
&gt; Customize your card organization with removable foam inserts

",2014,1,5,30,60,17,2.7029,"[{'min': 3, 'max': 3}]","['Ben Cichoski', 'Daniel Mandel']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Events', 'Hidden Roles', 'Open Drafting']","['Card Game', 'Fighting', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction']"
173,Viscounts of the West Kingdom,https://boardgamegeek.com/boardgame/296151/viscounts-of-the-west-kingdom,7.39,7.84,9804.0,"Viscounts of the West Kingdom is set at a time when the King&rsquo;s reign began to decline, circa 980 AD. Choosing peace over prosperity, our once strong King began offering our enemies gold and land to lay down their axes. But peace is a tenuous affair. As poverty spread, many people lost faith in his ability to lead and sought independence from the crown. Since finding favour in his courts, our future has also become uncertain. As viscounts, we must be wise and decisive. Loyalty is to be upheld, but gaining favour among the people must be our priority, should there be a sudden shift in power.

The aim of Viscounts of the West Kingdom is to be the player with the most victory points (VP) at game's end. Points are gained by constructing buildings, writing manuscripts, working in the castle and acquiring deeds for new land. Players begin with a handful of townsfolk, but should quickly seek out more suitable talents to advance their endeavours. Each turn they will be travelling around the kingdom, looking to increase their influence among the various areas of society. The game ends once the Kingdom reaches poverty or prosperity - or potentially both!

&mdash;description from the publisher

",2020,1,4,60,90,12,3.4565,"[{'min': 3, 'max': 3}]","['S J Macdonald', 'Shem Phillips']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'King of the Hill', 'Modular Board']",['Medieval']
174,Star Wars: X-Wing Miniatures Game,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,7.386,7.63,25047.0,"Star Wars: X-Wing Miniatures Game is a tactical ship-to-ship combat game in which players take control of powerful Rebel X-wings and nimble Imperial TIE fighters, facing them against each other in fast-paced space combat. Featuring stunningly detailed and painted miniatures, the X-Wing Miniatures Game recreates exciting Star Wars space combat throughout its several included scenarios. Select your crew, plan your maneuvers, and complete your mission!

Whatever your chosen vessel, the rules of X-Wing facilitate fast and visceral gameplay that puts you in the middle of Star Wars fiercest firefights. Each ship type has its own unique piloting dial, which is used to secretly select a speed and maneuver each turn. After planning maneuvers, each ship's dial is revealed and executed (starting with the lowest skilled pilot). So whether you rush headlong toward your enemy showering his forward deflectors in laser fire, or dance away from him as you attempt to acquire a targeting lock, you'll be in total control throughout all the tense dogfighting action.

Star Wars: X-Wing features (three) unique missions, and each has its own set of victory conditions and special rules; with such a broad selection of missions, only clever and versatile pilots employing a range of tactics will emerge victorious. What's more, no mission will ever play the same way twice, thanks to a range of customization options, varied maneuvers, and possible combat outcomes. Damage, for example, is determined through dice and applied in the form of a shuffled Damage Deck. For some hits your fighter sustains, you'll draw a card that assigns a special handicap. Was your targeting computer damaged, affecting your ability to acquire a lock on the enemy? Perhaps an ill-timed weapon malfunction will limit your offensive capabilities. Or worse yet, your pilot could be injured, compromising his ability to focus on the life-and-death struggle in which he is engaged...

The Star Wars: X-Wing starter set includes everything you need to begin your battles, such as scenarios, cards, and fully assembled and painted ships. What's more, Star Wars: X-Wing's quick-to-learn ruleset establishes the foundation for a system that can be expanded with your favorite ships and characters from the Star Wars universe.

Reimplemented by Star Wars: X-Wing (Second Edition)

",2012,2,2,30,45,14,2.4957,"[{'min': 2, 'max': 2}]",['Jay Little'],"['Action Queue', 'Critical Hits and Failures', 'Dice Rolling', 'Line of Sight', 'Movement Template', 'Player Elimination']","['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']"
175,Istanbul,https://boardgamegeek.com/boardgame/148949/istanbul,7.385,7.54,31551.0,"There's hustle and bustle at Istanbul's grand bazaar as merchants and their assistants rush through the narrow alleys in their attempt to be more successful than their competitors. Everything must be well organized: wheelbarrows must be filled with goods at the warehouses, then swiftly transported by the assistants to various destinations. Your goal? Be the first merchant to collect a certain number of rubies.

In Istanbul, you lead a group of one merchant and four assistants through 16 locations in the bazaar. At each such location, you can carry out a specific action. The challenge, though, is that to take an action, you must move your merchant and an assistant there, then leave the assistant behind (to handle all the details while you focus on larger matters). If you want to use that assistant again later, your merchant must return to that location to pick him up. Thus, you must plan ahead carefully to avoid being left with no assistants and thus unable to do anything...

In more detail, on a turn you move your merchant and his retinue of assistants one or two steps through the bazaar, either leave an assistant at that location or collect an assistant left earlier, then perform the action. If you meet other merchants or certain individuals at the location, you might be able to take a small extra action. Possible actions include:


    Paying to increase your wheelbarrow capacity, which starts the game with a capacity of only two for each good.
    Filling your wheelbarrow with a specified good to its limit.
    Acquiring a special ability, and the earlier you come, the easier they are to collect.
    Buying rubies or trading goods for rubies.
    Selling special combinations of goods to make the money you need to do everything else.


When a merchant has collected five rubies in his wheelbarrow, players complete that round, then the game ends. If this player is the only one who's reached this goal, he wins immediately; otherwise ties are broken by money in hand.

",2014,2,5,40,60,10,2.5833,"[{'min': 4, 'max': 4}]",['Rüdiger Dorn'],"['Contracts', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Network and Route Building', 'Pick-up and Deliver']",['Economic']
176,Voidfall,https://boardgamegeek.com/boardgame/337627/voidfall,7.385,8.57,3818.0,"For centuries, the Novarchs, descendants of the royal House of Novarchon, have ruled with an iron fist over the feudalistic galactic empire of humankind, the Domineum. During this time, they brought stunning technological innovation and scientific advancements to their domain. This accelerated progression helped the Domineum reach &mdash; and eventually inhabit &mdash; even the farthest segments of the known galaxy, where new Houses emerged to govern the outer sectors of the empire. As the House of Novarchon grew in power, so grew the religious cult that surrounded them, proclaiming grim prophecies about an ancient cosmic being from another dimension: the Voidborn.

Many thought it to be only a myth, but in truth, it was the Voidborn's dark influence that granted the Novarchs the sheer knowledge to achieve rapid expansion for the empire. While the cult of the Novarchs envisaged eternal life through the otherworldly entity, the Voidborn's only intention was satiating its eternal hunger. And so, when the Domineum had achieved a vastness fitting the Voidborn's craving, interdimensional rifts opened at the heart of the Domineum to unleash cosmic corruption. As the House of Novarchon and its followers welcomed the Voidborn and sought their false salvation, the entity infected and spread and seized control over the inner worlds. Now, it is time for the remaining Great Houses to purge the galactic corruption, prevent the Voidborn from fully manifesting in our dimension, and to ultimately overcome the chaos as the new rulers of the Domineum.

Voidfall is a space 4X game that brings the genre to Euro enthusiasts' tables. It combines the tension, player interaction, and deep empire customization of the 4X genre with the resource management, tight decisions, and minimum-luck gameplay of an economic Euro. Win by pushing back the Voidborn in the solo/coop mode, or by overcoming your rivals' influence in restoring the Domineum in the competitive mode &mdash; both using the same rule set and game system. Variability is ensured not only by multiple playable houses with their own strengths and weaknesses, but also by many different map set-ups for all game modes.

As the leader of a defiant Great House, you play through three cycles, each with a game-altering galactic event, a new scoring condition, and a set number of focus cards that can be played. Focus card decisions and sequencing is the centerpiece of the gameplay. By selecting two of their three impactful actions as you play them, you develop and improve techs; advance on your three house-specific civilization tracks; manage your sectors' infrastructure, population, and production; and conquer new sectors with up to five different types of space fleets. Space battles are fought either against the Voidborn's infected forces (which are present as neutral opponents even in the competitive mode) or against other players. Instead of relying on the luck of a die roll, battles in Voidfall are fully deterministic and reward careful preparation and outsmarting your opponents.

&mdash;description from the publisher

",2023,1,4,90,240,15,4.6264,"[{'min': 3, 'max': 3}]","['Nigel Buckle', 'Dávid Turczi']","['Area-Impulse', 'Command Cards', 'Cooperative Game', 'Events', 'Grid Movement', 'Hand Management']","['Civilization', 'Economic', 'Science Fiction', 'Space Exploration']"
177,Glen More II: Chronicles,https://boardgamegeek.com/boardgame/265188/glen-more-ii-chronicles,7.385,7.9,8315.0,"Glen More II: Chronicles is a sequel to Glen More, expanding the gameplay substantially compared to the original game.

In Glen More II: Chronicles, each player represents the leader of a Scottish clan from the early medieval ages until the 19th century, a leader looking to expand their territory and wealth. The success of your clan depends on your ability to make the right decision at the right time, be it by creating a new pasture for your livestock, growing barley for whisky production, selling your goods on the various markets, or gaining control of special landmarks such as lochs and castles.

The game lasts four rounds, represented by four stacks of tiles. After each round, a scoring phase takes place in which players compare their number of whisky casks, scotsmen in the home castle, landmark cards, and persons against the player with the fewest items in each category and receives victory points (VPs) based on the relative difference. After four rounds, additional VPs are awarded for gold coins and some landmarks while VP penalties are assessed based on territory size, comparing each player's territory to the smallest one in play.

The core mechanism of Glen More II: Chronicles and Glen More functions the same way: The last player in line takes a tile from a time track, advancing as far as they wish on this track. After paying the cost, they place this tile in their territory, with this tile activating itself and all neighboring tiles, triggering the production of resources, movement points, VPs, etc. Then the player who is last in line takes their turn.

Improvements over the original Glen More include bigger tiles, better materials, new artwork, the ability for each player to control the end of the game, and balancing adjustments to the tiles for a better suspense curve. The game is designed to consist of one-third known systems, one-third new mechanisms, and one-third improvements to Glen More.

The &quot;Chronicles&quot; in the title &mdash; a set of eight expansions to the base game &mdash; are a major part of these new mechanisms. Each Chronicle adds a new gameplay element to the base game. The &quot;Highland Boat Race&quot; Chronicle, for example, tells the story of a boat race in which the winner needs to be the first to reach their home castle after navigating their boat along the river through all the other players' territories. The &quot;Hammer of the Scots&quot; Chronicle adds a neutral &quot;Englishman&quot; playing piece to the time track that players struggle to control to get an additional turn &mdash; if they can afford him, that is, as he is paid using the market mechanism. All Chronicles can be freely combined, although designer Matthias Cramer suggests that players use only one or two unless they want a &quot;monster game&quot;.

Another major change to the game is the ability to invest in famous Scottish people of the time, who are represented through a new &quot;person&quot; tile type. Persons not only have their own scoring, they also trigger one-time or ongoing effects on the tactical clan board. This adds a new layer of decision making, especially since the ongoing effects allow players to focus on a personal strategy of winning through the use of the clan board.

&mdash;description from the publisher

",2019,2,4,90,120,12,3.0134,"[{'min': 3, 'max': 3}]",['Matthias Cramer'],"['Commodity Speculation', 'Grid Movement', 'Market', 'Set Collection', 'Tile Placement', 'Turn Order: Time Track']","['City Building', 'Economic', 'Farming', 'Territory Building']"
178,Too Many Bones: Undertow,https://boardgamegeek.com/boardgame/235802/too-many-bones-undertow,7.385,8.69,3391.0,"Join new playable Gearloc characters Stanza and Duster as they journey down the Sibron River in search of answers in this standalone expansion/sequel to Too Many Bones!

Too Many Bones: Undertow allows for 1-2 players out of the box, but by bringing in additional Gearlocs from the original game or adding in characters like Ghillie, Nugget, and Tink, you can create an adventure for up to four players. Undertow features all new baddies, encounters, tyrants, and a double-sided battle mat. Battles take place both on land and on your raft, adding even more variety and brain-bending tactics.

",2018,1,2,60,180,12,4.031,"[{'min': 2, 'max': 2}]","['Adam Carlson', 'Josh J. Carlson']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Die Icon Resolution', 'Minimap Resolution', 'Role Playing']","['Adventure', 'Dice', 'Fantasy', 'Fighting']"
